EBM,Date,Unit/Pen,Pre/Post Fish,Format,Volume (L),Filter weight (g),Biomass (g/L),sample,Aeromonas,Aeromonas hydrophila,Aeromonas salmonicida,Aliivibrio,Aliivibrio salmonicida,Caligus,Caligus rogercresseyi,Candidatus,Chryseobacterium,Flavobacterium,Flavobacterium branchiophilum,Flavobacterium psychrophilum,Francisella,Hafnia,Klebsiella,Klebsiella oxytoca,Moritella,Moritella viscosa,Piscirickettsia,Piscirickettsia salmonis,Pseudomonas,Pseudomonas fluorescens,Shewanella,Shewanella colwelliana,Staphylococcus,Staphylococcus epidermidis,Staphylococcus warneri,Streptococcus,Tenacibaculum,Tenacibaculum maritimum,Vibrio,Vibrio alginolyticus,Vibrio anguillarum,Vibrio campbellii,Vibrio harveyi,Vibrio parahaemolyticus,Vibrio splendidus,Vibrio tubiashii
EBM330,2024-06-28T10:29:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM331,2024-06-28T10:29:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM332,2024-06-28T10:29:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM333,2024-06-28T10:29:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM334,2024-06-28T10:30:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM335,2024-06-28T10:30:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM335_754390_taxon_report.csv,218.94568,,,,,,,519.768558,3.51462,517.44227,,41.243,,,10179.24102,,,,,,67.83215,,1028.67813,,,,,,10452.575400000002,153.513,34810.387344999996,169.374,,,,175.8,7083.89,
EBM336,2024-06-28T10:30:00+00:00,1.0,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM337,2024-06-28T10:31:00+00:00,7.0,,Mucosal,,,,EBM337_754389_taxon_report.csv,125.59967,,24.1893,21523.76,1997.85,,,,,1.6774,,,,,19834.8,,742.98,,8.35879,8.35879,121.84703,,613.8788999999999,,12.6477,,,,,,295597.31397,258.557,,370.392,,541.515,264314.0,63.611
EBM338,2024-06-28T10:31:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM339,2024-06-28T10:31:00+00:00,7.0,,Mucosal,,,,EBM339_754388_taxon_report.csv,19.61911,,,,,,,6.79122,,,,,,5.22137,14184.8519,,,,,,30.02415,,405.4156,,,,,,,,3078.76839,,,,,,,
EBM340,2024-06-28T10:31:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM341,2024-06-28T10:31:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM342,2024-06-28T10:31:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM342_754387_taxon_report.csv,97.9258,,,,,,,40.1105,,987.2366,,,,,7736.692599999999,,,,,,2.75466,,14092.96232,1.61892,2.2619,,,,1655.741,,31640.43658,,,,,,19019.0,
EBM343,2024-06-28T10:31:00+00:00,7.0,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM358,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,EBM358_754386_taxon_report.csv,,,,,,,,,,,,,,,6969.46,,,,,,,,,,,,,,,,222622.28019,,,,,,,
EBM359,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM360,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM361,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM362,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM363,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,EBM363_754385_taxon_report.csv,4.29705,,,,,,,,,7.98104,,,,,2473.0768000000003,,7.5245,,,,16.3441,,54.70823,,37.3784,17.4975,,,44.3737,,224619.64618,464.596,,,,887.862,,
EBM364,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM365,2024-06-28T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM366,2024-06-28T11:00:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM367,2024-06-28T11:00:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM367_754384_taxon_report.csv,28.49548,,,,,,,384.72085,3.03027,67.74369,,,,,5803.222199999999,,,,,,58.715,,75545.56263000001,,14.7246,,,2.16739,13753.67,,59463.48017,,,,,201.753,3776.69,
EBM368,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM369,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,EBM369_754383_taxon_report.csv,779.219,,,,,,,10.9536,,,,,,,511.178,,,,,,,,,,,,,,4.09671,,148107.57448,,,,,,90998.1,
EBM370,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,EBM370_754382_taxon_report.csv,,,,,,,,,,,,,,,727.188,,,,,,4.49642,,,,,,,,,,56636.3,,,,,,,
EBM371,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM372,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM373,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,EBM373_754381_taxon_report.csv,9.0808,,,,,,,23.4767,,,,,,,48268.5,,,,,,,,,,27.7054,,,,,,,,,,,,,
EBM374,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,EBM374_754380_taxon_report.csv,2413.35261,,,,,,,14.44485,,,,,,,14777.22805,,,,,,22.77776,,1524.28974,,8.45252,,,,,,163238.01894,2678.96,,,,3672.03,,
EBM375,2024-06-28T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM376,2024-06-28T11:00:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM377,2024-06-28T11:00:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM377_754379_taxon_report.csv,,,,,,,,1200.10518,,66.4099,,52.1631,,,8290.0032,,43.1254,,,,286.62197,,119453.442,,,,,,547.802,,1105.97097,366.638,,,,,,
EBM378,2024-06-28T11:00:00+00:00,,,Sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM379,2024-06-28T11:00:00+00:00,,,Sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
